Food,Ingredients,Effect,Notes,Sell Price
Enduring Fried Wild Greens,Endura Carrot,Restore four hearts and overfill your stamina wheel.,5 Endura Carrots overfills for 2 stamina wheels.,
Enduring Meat Curry,"Endura Carrot,Raw Meat,Hylian Rice,Goron Spice",Restore Eight hearts and overfill your stamina wheel.,,
Enduring Milk,"Enduring Carrot,Fresh Milk",Restore five hearts and restore and overfill your stamina wheel.,,
Energizing Seafood Skewer,Bright-eyed Crab x5,Restores 5x hearts and three stamina wheels (full).,,
Enduring Carrot Cake,"Endura Carrot x2,Tabantha Wheat,Goat Butter,Cane Sugar",,,
Enduring Salt-Grilled Prime Meat,"Endura Carrot,Raw Prime Meat,Rock Salt",Restore eleven hearts and overfill your stamina wheel.,Each Endura Carrot added will increase the stamina overfill,
Enduring Steamed Meat,"Endura Carrot,Raw Prime Meat",Restore seven hearts and overfill your stamina wheel.,,
Enduring Vegetable Curry,"Endura Carrot,Hylian Rice,Goron Spice",Restore six hearts and overfill your stamina wheel.,,
Energizing Mushroom Skewer,Stamella Shroom,Restore one heart and refill some stamina.,Each Hylian shroom added will restore 1 additional heart.,
Energizing Fish and Mushroom Skewer,"Stamella Shroom,Hyrule Bass",Restore three hearts and refill some stamina.,,
Energizing Fish Skewer,Fresh Fish,Refill some stamina.,Open flame,
Energizing Fish Skewer,Staminoka Bass,Restore two hearts and refill full stamina.,,
Energizing Salt-Grilled Fish,"Staminoka Bass x2, Stamella Shroom x2, Rock Salt",Restores six hearts and refills 3 wheels of stamina.,,
Energizing Glazed Meat,"Raw Meat,Courser Bee Honey",Restore six hearts and refill some stamina.,,
Energizing Honeyed Apple,"Apple,Courser Bee Honey",Restore five hearts and refill some stamina.,,
Energizing Meaty Rice Balls,"Raw Meat,Hylian Rice,Courser Bee Honey",Restore eight hearts and refill most of your stamina.,,
Energizing Steamed Meat,"Raw Meat,Hyrule Herb,Stamella Shroom",Restore five hearts and refill some stamina.,,
Enduring Steamed Meat,"Endura Shroom x2,Endura Carrot x2,Raw Gourmet Meat",Restore twenty-one hearts and overfill your stamina wheel.,One whole overfill wheel.,
Enduring Steamed Mushrooms,"Endura Shroom x3,Endura Carrot x2","Restore fourteen hearts, refills stamina wheel, and overfills one stamina wheel.",One whole overfill wheel.,
Energizing Glazed Meat,"Stamella Shroom,Raw Prime Meat,Courser Bee Honey,Rock Salt,Staminoka Bass",Restores 9 hearts and 1 and 3/4 of stamina wheel.,Does not overfill.,
Energizing Seafood Rice Balls,"Stamella Shroom,Staminoka Bass,Hylian Rice",Restore 5 hearts and fill some of your stamina wheel.,,
