Food,Ingredients,Strength,Duration,Notes,Sell Price
Sneaky Fried Wild Greens,"Silent Princess x3,Fairy,Shard of Farosh's Horn",High,30:00,Restore 22 3/4 hearts,
Sneaky Fried Wild Greens,Silent Princess x5,High,10:00,Restore ten hearts,140
Sneaky Mushroom Skewer,Silent Shroom x5,High,10:00,Restore five hearts,50
Sneaky Steamed Fish,"Silent Princess,Silent Shroom x2,Sneaky River Snail x2",High,10:00,Restore eight hearts,80
Sneaky Veggie Rice Balls,"Hylian Rice,Silent Princess x4",High,9:00,Restore ten hearts,120
Sneaky Meat Skewer,"Silent Princess x3,Raw Meat,Raw Bird Drumstick",High,7:00,Restore ten hearts,130
Sneaky Steamed Mushrooms,"Silent Shroom,Blue Nightshade x4",Mid,10:00,Restore one heart,60
Sneaky Mushroom Skewer,Silent Shroom x4,Mid,8:00,Restore four hearts,30
Sneaky Mushroom Skewer,Silent Shroom x3,Mid,6:00,Restore three hearts,20
Sneaky Meat Skewer,"Silent Princess x2,Raw Meat,Raw Bird Drumstick,Acorn",Mid,5:50,Restore nine hearts,110
Sneaky Seafood Meuniere,"Sneaky River Snail,Tabantha Wheat,Goat Butter,Fresh Milk",Low,10:40,Restore five hearts,40
Sneaky Veggie Rice Balls,"Hylian Rice,Blue Nightshade x4",Low,9:00,Restore two hearts,60
Sneaky Steamed Mushrooms,"Silent Shroom,Blue Nightshade x3",Low,8:00,Restore one heart,40
Sneaky Steamed Mushrooms,"Silent Shroom,Blue Nightshade x2",Low,6:00,Restore four hearts,30
Sneaky Steamed Fish,"Silent Shroom,Blue Nightshade,Sneaky River Snail",Low,6:00,Restore three hearts,30
Sneaky Steamed Mushrooms,"Silent Shroom,Blue Nightshade",Low,4:00,Restore three hearts,20
Sneaky Mushroom Skewer,Silent Shroom x2,Low,4:00,Restore two hearts,10
Sneaky Mushroom Skewer,"Silent Shroom,Hylian Shroom",Low,2:30,Restore two hearts,10
Sneaky Mushroom Skewer,Silent Shroom,Low,2:00,Restore one heart,10
Sneaky Seafood Skewer,Sneaky River Snail,Low,2:00,Restore two hearts,10
Sneaky Fried Wild Greens,Blue Nightshade,Low,2:00,,10
